date,store,item,category,unit,price,phase
2026-07-06,Bel Air - E Bidwell St,Whole milk (store brand),Dairy & Eggs,1 gal,5.78,pilot
2026-07-06,Bel Air - E Bidwell St,Large eggs (store brand),Dairy & Eggs,dozen,3.49,pilot
2026-07-06,Bel Air - E Bidwell St,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.99,pilot
2026-07-06,Bel Air - E Bidwell St,Chicken breast (boneless),Meat & Poultry,per lb,2.97,pilot
2026-07-06,Bel Air - E Bidwell St,Ground beef 80/20,Meat & Poultry,per lb,8.96,pilot
2026-07-06,Bel Air - E Bidwell St,Bananas,Produce,per lb,0.88,pilot
2026-07-06,Bel Air - E Bidwell St,Baby carrots,Produce,1 lb bag,1.99,pilot
2026-07-06,Bel Air - E Bidwell St,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-06,Bel Air - E Bidwell St,Cheerios,Pantry,18 oz,7.99,pilot
2026-07-06,Bel Air - E Bidwell St,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-06,Bel Air - E Bidwell St,Barilla spaghetti,Pantry,16 oz,2.79,pilot
2026-07-06,Bel Air - E Bidwell St,White sandwich bread (store brand),Pantry,20 oz loaf,3.49,pilot
2026-07-06,Bel Air - E Bidwell St,Coca-Cola,Beverages,2 L,3.99,pilot
2026-07-06,Bel Air - E Bidwell St,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot
2026-07-13,Bel Air - E Bidwell St,Whole milk (store brand),Dairy & Eggs,1 gal,5.78,pilot
2026-07-13,Bel Air - E Bidwell St,Large eggs (store brand),Dairy & Eggs,dozen,1.99,pilot
2026-07-13,Bel Air - E Bidwell St,Tillamook medium cheddar,Dairy & Eggs,8 oz,2.99,pilot
2026-07-13,Bel Air - E Bidwell St,Chicken breast (boneless),Meat & Poultry,per lb,2.97,pilot
2026-07-13,Bel Air - E Bidwell St,Ground beef 80/20,Meat & Poultry,per lb,10.99,pilot
2026-07-13,Bel Air - E Bidwell St,Bananas,Produce,per lb,0.88,pilot
2026-07-13,Bel Air - E Bidwell St,Baby carrots,Produce,1 lb bag,1.99,pilot
2026-07-13,Bel Air - E Bidwell St,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-13,Bel Air - E Bidwell St,Cheerios,Pantry,18 oz,7.99,pilot
2026-07-13,Bel Air - E Bidwell St,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-13,Bel Air - E Bidwell St,Barilla spaghetti,Pantry,16 oz,2.29,pilot
2026-07-13,Bel Air - E Bidwell St,White sandwich bread (store brand),Pantry,20 oz loaf,3.49,pilot
2026-07-13,Bel Air - E Bidwell St,Coca-Cola,Beverages,2 L,3.99,pilot
2026-07-13,Bel Air - E Bidwell St,Starbucks Pike Place ground,Beverages,12 oz,15.99,pilot
2026-07-20,Bel Air - E Bidwell St,Whole milk (store brand),Dairy & Eggs,1 gal,5.78,pilot
2026-07-20,Bel Air - E Bidwell St,Large eggs (store brand),Dairy & Eggs,dozen,3.49,pilot
2026-07-20,Bel Air - E Bidwell St,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.99,pilot
2026-07-20,Bel Air - E Bidwell St,Chicken breast (boneless),Meat & Poultry,per lb,3.99,pilot
2026-07-20,Bel Air - E Bidwell St,Ground beef 80/20,Meat & Poultry,per lb,10.99,pilot
2026-07-20,Bel Air - E Bidwell St,Bananas,Produce,per lb,0.88,pilot
2026-07-20,Bel Air - E Bidwell St,Baby carrots,Produce,1 lb bag,1.99,pilot
2026-07-20,Bel Air - E Bidwell St,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-20,Bel Air - E Bidwell St,Cheerios,Pantry,18 oz,7.99,pilot
2026-07-20,Bel Air - E Bidwell St,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-20,Bel Air - E Bidwell St,Barilla spaghetti,Pantry,16 oz,2.29,pilot
2026-07-20,Bel Air - E Bidwell St,White sandwich bread (store brand),Pantry,20 oz loaf,2.99,pilot
2026-07-20,Bel Air - E Bidwell St,Coca-Cola,Beverages,2 L,3.99,pilot
2026-07-20,Bel Air - E Bidwell St,Starbucks Pike Place ground,Beverages,12 oz,15.99,pilot
2026-07-27,Bel Air - E Bidwell St,Whole milk (store brand),Dairy & Eggs,1 gal,5.78,pilot
2026-07-27,Bel Air - E Bidwell St,Large eggs (store brand),Dairy & Eggs,dozen,3.79,pilot
2026-07-27,Bel Air - E Bidwell St,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.99,pilot
2026-07-27,Bel Air - E Bidwell St,Chicken breast (boneless),Meat & Poultry,per lb,3.99,pilot
2026-07-27,Bel Air - E Bidwell St,Ground beef 80/20,Meat & Poultry,per lb,8.99,pilot
2026-07-27,Bel Air - E Bidwell St,Bananas,Produce,per lb,0.88,pilot
2026-07-27,Bel Air - E Bidwell St,Baby carrots,Produce,1 lb bag,1.99,pilot
2026-07-27,Bel Air - E Bidwell St,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-27,Bel Air - E Bidwell St,Cheerios,Pantry,18 oz,7.99,pilot
2026-07-27,Bel Air - E Bidwell St,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-27,Bel Air - E Bidwell St,Barilla spaghetti,Pantry,16 oz,2.29,pilot
2026-07-27,Bel Air - E Bidwell St,White sandwich bread (store brand),Pantry,20 oz loaf,3.49,pilot
2026-07-27,Bel Air - E Bidwell St,Coca-Cola,Beverages,2 L,3.99,pilot
