date,store,item,category,unit,price,phase
2026-07-06,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.72,pilot
2026-07-06,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot
2026-07-06,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot
2026-07-06,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot
2026-07-06,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,7.23,pilot
2026-07-06,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot
2026-07-06,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.32,pilot
2026-07-06,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.83,pilot
2026-07-06,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot
2026-07-06,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot
2026-07-06,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot
2026-07-06,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot
2026-07-06,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot
2026-07-06,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot
2026-07-06,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot
2026-07-06,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot
2026-07-06,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot
2026-07-06,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot
2026-07-06,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,7.89,pilot
2026-07-06,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot
2026-07-06,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.39,pilot
2026-07-06,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-06,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,5.29,pilot
2026-07-06,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot
2026-07-06,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot
2026-07-06,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot
2026-07-06,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,2.5,pilot
2026-07-06,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot
2026-07-06,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.79,pilot
2026-07-06,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot
2026-07-06,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.99,pilot
2026-07-06,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot
2026-07-06,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot
2026-07-06,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot
2026-07-06,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,2.99,pilot
2026-07-06,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot
2026-07-06,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,6.99,pilot
2026-07-06,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-06,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot
2026-07-06,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,2.8,pilot
2026-07-06,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot
2026-07-06,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot
2026-07-13,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.73,pilot
2026-07-13,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot
2026-07-13,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot
2026-07-13,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot
2026-07-13,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.26,pilot
2026-07-13,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot
2026-07-13,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.32,pilot
2026-07-13,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.83,pilot
2026-07-13,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot
2026-07-13,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot
2026-07-13,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot
2026-07-13,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot
2026-07-13,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot
2026-07-13,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot
2026-07-13,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot
2026-07-13,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot
2026-07-13,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot
2026-07-13,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot
2026-07-13,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot
2026-07-13,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot
2026-07-13,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.7,pilot
2026-07-13,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-13,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot
2026-07-13,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot
2026-07-13,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot
2026-07-13,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot
2026-07-13,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,2.5,pilot
2026-07-13,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot
2026-07-13,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.79,pilot
2026-07-13,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot
2026-07-13,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,5.49,pilot
2026-07-13,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot
2026-07-13,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,11.99,pilot
2026-07-13,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot
2026-07-13,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,2.99,pilot
2026-07-13,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot
2026-07-13,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,6.99,pilot
2026-07-13,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-13,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot
2026-07-13,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,2.99,pilot
2026-07-13,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot
2026-07-13,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,9.99,pilot
2026-07-20,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.73,pilot
2026-07-20,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot
2026-07-20,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot
2026-07-20,Walmart - Riley St,Chicken breast (boneless),Meat & Poultry,per lb,2.57,pilot
2026-07-20,Walmart - Riley St,Ground beef 80/20,Meat & Poultry,per lb,6.26,pilot
2026-07-20,Walmart - Riley St,Bananas,Produce,per lb,0.5,pilot
2026-07-20,Walmart - Riley St,Baby carrots,Produce,1 lb bag,1.44,pilot
2026-07-20,Walmart - Riley St,Romaine hearts,Produce,3 ct,3.83,pilot
2026-07-20,Walmart - Riley St,Cheerios,Pantry,18 oz,4.47,pilot
2026-07-20,Walmart - Riley St,Jif creamy peanut butter,Pantry,16 oz,2.98,pilot
2026-07-20,Walmart - Riley St,Barilla spaghetti,Pantry,16 oz,1.84,pilot
2026-07-20,Walmart - Riley St,White sandwich bread (store brand),Pantry,20 oz loaf,1.63,pilot
2026-07-20,Walmart - Riley St,Coca-Cola,Beverages,2 L,2.97,pilot
2026-07-20,Walmart - Riley St,Starbucks Pike Place ground,Beverages,12 oz,11.87,pilot
2026-07-20,Target - Blue Ravine Rd,Whole milk (store brand),Dairy & Eggs,1 gal,4.29,pilot
2026-07-20,Target - Blue Ravine Rd,Large eggs (store brand),Dairy & Eggs,dozen,1.49,pilot
2026-07-20,Target - Blue Ravine Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,4.19,pilot
2026-07-20,Target - Blue Ravine Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.69,pilot
2026-07-20,Target - Blue Ravine Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot
2026-07-20,Target - Blue Ravine Rd,Bananas,Produce,per banana,0.29,pilot
2026-07-20,Target - Blue Ravine Rd,Baby carrots,Produce,1 lb bag,1.89,pilot
2026-07-20,Target - Blue Ravine Rd,Romaine hearts,Produce,3 ct,3.99,pilot
2026-07-20,Target - Blue Ravine Rd,Cheerios,Pantry,18 oz,4.79,pilot
2026-07-20,Target - Blue Ravine Rd,Jif creamy peanut butter,Pantry,16 oz,2.99,pilot
2026-07-20,Target - Blue Ravine Rd,Barilla spaghetti,Pantry,16 oz,1.89,pilot
2026-07-20,Target - Blue Ravine Rd,White sandwich bread (store brand),Pantry,20 oz loaf,1.49,pilot
2026-07-20,Target - Blue Ravine Rd,Coca-Cola,Beverages,2 L,3.19,pilot
2026-07-20,Target - Blue Ravine Rd,Starbucks Pike Place ground,Beverages,12 oz,12.79,pilot
2026-07-20,Safeway - Prairie City Rd,Whole milk (store brand),Dairy & Eggs,1 gal,5.79,pilot
2026-07-20,Safeway - Prairie City Rd,Large eggs (store brand),Dairy & Eggs,dozen,3.99,pilot
2026-07-20,Safeway - Prairie City Rd,Tillamook medium cheddar,Dairy & Eggs,8 oz,5.49,pilot
2026-07-20,Safeway - Prairie City Rd,Chicken breast (boneless),Meat & Poultry,per lb,2.99,pilot
2026-07-20,Safeway - Prairie City Rd,Ground beef 80/20,Meat & Poultry,per lb,6.99,pilot
2026-07-20,Safeway - Prairie City Rd,Bananas,Produce,per lb,0.89,pilot
2026-07-20,Safeway - Prairie City Rd,Baby carrots,Produce,1 lb bag,3.99,pilot
2026-07-20,Safeway - Prairie City Rd,Romaine hearts,Produce,3 ct,4.99,pilot
2026-07-20,Safeway - Prairie City Rd,Cheerios,Pantry,18 oz,6.99,pilot
2026-07-20,Safeway - Prairie City Rd,Jif creamy peanut butter,Pantry,16 oz,3.99,pilot
2026-07-20,Safeway - Prairie City Rd,Barilla spaghetti,Pantry,16 oz,2.5,pilot
2026-07-20,Safeway - Prairie City Rd,White sandwich bread (store brand),Pantry,20 oz loaf,2.8,pilot
2026-07-20,Safeway - Prairie City Rd,Coca-Cola,Beverages,2 L,3.99,pilot
2026-07-20,Safeway - Prairie City Rd,Starbucks Pike Place ground,Beverages,12 oz,13.99,pilot
2026-07-27,Walmart - Riley St,Whole milk (store brand),Dairy & Eggs,1 gal,3.73,pilot
2026-07-27,Walmart - Riley St,Large eggs (store brand),Dairy & Eggs,dozen,1.47,pilot
2026-07-27,Walmart - Riley St,Tillamook medium cheddar,Dairy & Eggs,8 oz,3.88,pilot
